Source,Destination,Protocol,Length,Payload Length,Window,Flags,Detection
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
2000:1710:c01:1::1,2000:1710:c01:1::10,6,74,20,1480,0x002,0
